Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022 17:00,366672,AGE,assembleia,data/raw/37511828000114/366672_assembleia_assembleia_366672_2022-10-14.pdf,3,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","...inhentos e sessenta e oito reais e trinta e nove centavos) referentes aos serviços prestados no ano de 2022 até a presente data; (iii) a alteração da redação do s itens 19.2, 19.3 e 19.4 do Capítulo Dezenove do Regulamento do Fundo, de forma a restar clara a forma de alocação dos recursos do Fundo, os quais passarão a vigorar com a seguinte redação: 19.2. Até a Data Limite de Investimento em Direitos Creditórios e/ou a ocorrência de um Evento de Amortização Acelerada, de um Evento de Avaliação ou de um Evento de Liquidação do Fundo, o Administrador deverá, por meio dos competentes débitos e créditos realizados na Conta de Pagamento ou conta corrente de titularida de do Fundo, alocar os recursos decorrentes da integralização das Cotas e do recebimento de recursos provenientes da Carteira do Fundo, e aqueles correspondentes ao valor agregado dos Ativos Financeiros integrantes da Carteira do Fundo, na...",366672_assembleia_assembleia_366672_2022-10-14.pdf p.3
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022 17:00,366672,AGE,assembleia,data/raw/37511828000114/366672_assembleia_assembleia_366672_2022-10-14.pdf,4,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","4 (v) caso seja uma Data de Pagamento, pagamento de remuneração ao Agente de Cobrança CCB, nos termos do Capítulo Sétimo do Contrato de Cobrança, e pagamento de remuneração ao Agente de Recebimento, nos termos do Capítulo Cinco do Contrato de Agente de Recebimento, considerando que a somatória das duas remunerações não deve exceder um montante igual a 3% (três por cento) ao ano sobre o Patrimônio Líquido do Fundo; (vi) pagamento da Amortização Extraordinária; (vii) até a Data Limite...",366672_assembleia_assembleia_366672_2022-10-14.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022 17:00,366672,AGE,assembleia,data/raw/37511828000114/366672_assembleia_assembleia_366672_2022-10-14.pdf,5,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b, \bresgate\b","5 das duas remunerações não deve exceder um montante igual a 3% (três por cento) ao ano sobre o Patrimônio Líquido do Fundo; (vi) uma vez resgatado a totalidade das Cotas Seniores, pagamento da Amortização das Cotas Subordinadas, conforme orientação do Gestor; e (vii) na hipótese de haver recursos disponíveis na Conta de Pagamento ou em conta corrente de titularidade do Fundo ao término de cada Dia Útil, aquisição de Ativos Financeiros. 19.4. Verificada a ocorrência de um Evento de Resilição Qualificada ou Evento de Pagamento Qualificado, o Administrador deverá diariamente proceder com o resgate extraordinário ou amortização extraordinária das Cot...",366672_assembleia_assembleia_366672_2022-10-14.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/11/2024,785567,Regulamento,regulamento,data/raw/37511828000114/785567_regulamento_regulamento_785567_2024-11-14.pdf,2,\bamortiza[cç][aã]o\b,"..... 50 CAPÍTULO NONO – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO ......................................... 51 CAPÍTULO DÉCIMO - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ....................................................................... 51 CAPÍTULO DÉCIMO PRIMEIRO– DA ASSEMBLEIA GERAL DE COTISTAS 57 CAPÍTULO DÉCIMO SEGUNDO– DA AMORTIZAÇÃO DAS COTAS 68 CAPÍTULO DÉCIMO TERCEIRO– DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇÃO DO FUNDO 69 CAPÍTULO DÉCIMO QUARTO– DA AMORTIZAÇÃO ACELERADA, LIQUIDAÇÃO EXTRAORDINÁRIA DO FUNDO E AMORTIZAÇÃO FINAL DE COTAS..................................... 74 CAPÍTULO DÉCIMO QUINTO– DOS ENCARGOS DO FUNDO 77 CAPÍTULO DÉCIMO SEXTO– DAS DEMONSTRAÇÕES FINANCEIRAS 78 CAPÍTULO DÉCIMO SÉTIMO– DOS PRESTADORES DE SERVIÇOS DO FUNDO 78 CAPÍTULO DÉCIMO OITAVO– DA TAXA DE AD...",785567_regulamento_regulamento_785567_2024-11-14.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/11/2024,785567,Regulamento,regulamento,data/raw/37511828000114/785567_regulamento_regulamento_785567_2024-11-14.pdf,6,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","6 Permitidos; ou (iv) qualquer operação ou série de operações nas quais possa ocorrer a fusão da MeLi com outra Pessoa ou a transmissão, venda, arrendamento, transferência ou cessão de todas ou partes substanciais do negócio, propriedades ou ativos da MeLi a uma Pessoa em que a MeLi não seja a sociedade prevalecente (exceto por quaisquer fusões que tenham como resultado a prevalência de um Acionista Permitido). ""Amortização"" (Amortization) Significa a amortização das Cotas em Circulação, ou seja, o pagamento aos Cotistas de parcela do valor de suas Cotas, sem redução de seu número, que será realizada nos termos previstos nos Capítulo Décimo segundo e Capítulo Décimo quarto deste Regulamento. “Amortização Final” Significa a amortização final das Cotas. “Amortização Acelerada” (Accelerated Amortization) Significa o regime de Amortização das Cotas, a ser adotado pelo ...",785567_regulamento_regulamento_785567_2024-11-14.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/11/2024,785567,Regulamento,regulamento,data/raw/37511828000114/785567_regulamento_regulamento_785567_2024-11-14.pdf,12,\bamortiza[cç][aã]o\b,"...destituir todos, ou a maioria, os diretores ou outros cargos equivalentes dessa Pessoa; ou (iii) de qualquer outra forma direcionar ou causar o direcionamento da gestão dessa Pessoa. O termo “Controlada” terá o significado correspondente. ""Cota” ou “Cotas"" (Quota or Quotas) Significa a Cota Sênior e cada Cota Subordinada emitida pelo Fundo, quando referidas em conjunto ou indistintamente, cujos termos e condições para integralização, direitos de Amortização e outras características estão descritas neste Regulamento. ""Cota Inadimplida” ou “Cotas Inadimplidas"" (Unpaid Quota or Unpaid Quotas) Significa a Cota Sênior ou as Cotas Subordinadas subscritas e que não tenham sido integralizadas no contexto de uma Chamada de Capital, na forma prevista neste Regulamento e no respectivo Compromisso de Investimento.",785567_regulamento_regulamento_785567_2024-11-14.pdf p.12
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/11/2024,785567,Regulamento,regulamento,data/raw/37511828000114/785567_regulamento_regulamento_785567_2024-11-14.pdf,13,\bamortiza[cç][aã]o\b,"13 “Cotas em Circulação” (Outstanding Quotas) Significam as Cotas subscritas, integralizadas e que não tenham sido objeto de Amortização Final ou canceladas pelo Fundo. ""Cota Sênior"" (Senior Quota) Significa a cota de subclasse sênior emitida pelo Fundo, a qual não se subordina às demais para efeito de Amortização, Amortização Final e distribuição dos rendimentos da Carteira do Fundo, nos termos deste Regulamento. Para fins de esclarecimento, eventual nova cota sênior com as mesmas características da Cota Sênior emitida pelo Fundo que ainda não tenha sido objeto de Consolidação, ...",785567_regulamento_regulamento_785567_2024-11-14.pdf p.13
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/11/2024,785567,Regulamento,regulamento,data/raw/37511828000114/785567_regulamento_regulamento_785567_2024-11-14.pdf,14,\bvencimento\b,"...redominante dos créditos devidos pelos Devedores CCB Comerciante classificados pelo Mercado Pago como categoria “A” ou “B”; e (ii) o Devedor CCB Comerciante seja classificado pelo Mercado Pago como categoria “A” ou “B”. “Créditos Inadimplentes” (Delinquent Credits) Significam os Direitos Creditórios Para Fins de Enquadramento relativamente aos quais qualquer pagamento permanecer inadimplente por período superior a 30 (trinta) dias após a data de vencimento inicialmente prevista, para os Direitos Creditórios CCB. “Créditos Inadimplentes Relevantes” (Charged Off Credits) Significam os Direitos Creditórios Para Fins de Enquadramento relativamente aos quais (i) qualquer pagamento permanecer inadimplente por período superior a 90 (noventa) dias após a data de vencimento inicialmente prevista, para os Direitos Creditórios CCB; e (ii) tenham sido identificados pelo Agente de Cobrança CCB como incobráveis...",785567_regulamento_regulamento_785567_2024-11-14.pdf p.14
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,19/05/2025 10:00,909452,AGE,assembleia,data/raw/37511828000114/909452_assembleia_assembleia_909452_2025-05-19.pdf,1,\bamortiza[cç][aã]o\b,"...zembro de 2022 , conforme alterada (“ Resolução CVM 175”) e conforme disposições previstas no regulamento do Fundo (“Regulamento”). 3. PRESENÇA: Presentes (i) o Cotista, nos termos do Anexo I ; e (ii) os representantes legais do Administrador. 4. COMPOSIÇÃO DA MESA: Presidente: Rodrigo Godoy; Secretária: Cíntia Sant’ana. 5. ORDEM DO DIA: Deliberar sobre a: i. Aprovação do “Evento de Pagamento Qualificado”, conforme definido no Regulamento , para amortização extraordinária da Subclasse de Cota Sênior no valor de R$ 150.000.000,00 (cento e cinquenta milhões de reais); ii. Aprovação do “Evento de Redução Qualificada”, no valor R$ 150.000.000,00 (cento e cinquenta milhões de reais), nos termos do Regulamento; e iii. A autorização ao Administrador para que efetive todos e quaisquer procedimentos necessários para implementação do quanto deliberado nesta Ata. 6. DELIBERAÇÃO: Após a análise das matérias co...",909452_assembleia_assembleia_909452_2025-05-19.pdf p.1
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,19/05/2025 10:00,909452,AGE,assembleia,data/raw/37511828000114/909452_assembleia_assembleia_909452_2025-05-19.pdf,2,\bamortiza[cç][aã]o\b,"i. Aprovação do “Evento de Pagamento Qualificado”, conforme definido no Regulamento , para amortização extraordinária da Subclasse de Cota Sênior no valor de R$ 150.000.000,00 (cento e cinquenta milhões de reais); ii. Aprovação do “Evento de Redução Qualificada”, correspondente à redução da obrigação comprometida individual dos cotistas da Subclasse de Cota Sênior em R$ 150.000.000,00 (cento e cinquenta milhões de reais), sendo tal redução diretamente vinculada ao Evento de Pagamento Qualificado aprovado acima. O pagamento da amortização ocorrerá...",909452_assembleia_assembleia_909452_2025-05-19.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,20/06/2025 10:00,939681,AGE,assembleia,data/raw/37511828000114/939681_assembleia_assembleia_939681_2025-06-20.pdf,1,\bamortiza[cç][aã]o\b,"...embro de 2022 , conforme alterada (“ Resolução CVM 175”) e conforme disposições previstas no regulamento do Fundo (“Regulamento”). 3. PRESENÇA: Presentes (i) o Cotista, nos termos do Anexo I ; e (ii) os representantes legais do Administrador. 4. COMPOSIÇÃO DA MESA: Presidente: Camilla Donati; Secretária: Cíntia Sant’Ana. 5. ORDEM DO DIA: Deliberar sobre a: i. Aprovação do “Evento de Pagamento Qualificado”, conforme definido no Regulamento , para amortização extraordinária da Subclasse de Cota Sênior no valor de R$70.000.000,00 (setenta milhões de reais); ii. Aprovação do “Evento de Redução Qualificada”, no valor R$70.000.000,00 (setenta milhões de reais), nos termos do Regulamento; e iii. A autorização ao Administrador para que efetive todos e quaisquer procedimentos necessários para implementação do quanto deliberado nesta Ata. 6. DELIBERAÇÃO: Após a análise das matérias constantes na ordem do dia...",939681_assembleia_assembleia_939681_2025-06-20.pdf p.1
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,20/06/2025 10:00,939681,AGE,assembleia,data/raw/37511828000114/939681_assembleia_assembleia_939681_2025-06-20.pdf,2,\bamortiza[cç][aã]o\b,"i. Aprovação do “Evento de Pagamento Qualificado”, conforme definido no Regulamento , para amortização extraordinária d a Subclasse de Cota Sênior no valor de R$70.000.000,00 (setenta milhões de reais); ii. Aprovação do “Evento de Redução Qualificada”, correspondente à redução da obrigação comprometida individual dos cotistas da Subclasse de Cota Sênior em R$70.000.000,00 (setenta milhões de reais), sendo tal redução diretamente vinculada ao Evento de Pagamento Qualificado aprovado acima. O pagamento da amortização ocorrerá no dia 27 de junho de ...",939681_assembleia_assembleia_939681_2025-06-20.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,20/10/2025,1019776,Regulamento,regulamento,data/raw/37511828000114/1019776_regulamento_regulamento_1019776_2025-10-20.pdf,2,\bamortiza[cç][aã]o\b,"...ÇÃO DE DIREITOS CREDITÓRIOS 55CAPÍTULO NONO – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO ..... 56CAPÍTULO DÉCIMO – DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ..................................................... 56CAPÍTULO DÉCIMO PRIMEIRO – DA ASSEMBLEIA GERAL DE COTISTAS .............................. 65CAPÍTULO DÉCIMO SEGUNDO – DA AMORTIZAÇÃO DAS COTAS ........................................ 82CAPÍTULO DÉCIMO TERCEIRO – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇÃO DO FUNDO84CAPÍTULO DÉCIMO QUARTO – DA AMORTIZAÇÃO ACELERADA, LIQUIDAÇÃO EXTRAORDINÁRIA DO FUNDO E AMORTIZAÇÃO FINAL DE COTAS..................................... 90CAPÍTULO DÉCIMO QUINTO – DOS ENCARGOS DO FUNDO ............................................. 92CAPÍTULO DÉCIMO SEXTO – DAS DEMONSTRAÇÕES FINANCEIRAS .....................",1019776_regulamento_regulamento_1019776_2025-10-20.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,20/10/2025,1019776,Regulamento,regulamento,data/raw/37511828000114/1019776_regulamento_regulamento_1019776_2025-10-20.pdf,6,\bamortiza[cç][aã]o\b,"...s que não um ou mais dos Acionistas Permitidos; ou (iv) qualquer operação ou série de operações nas quais possa ocorrer a fusão da MeLi com outra Pessoa ou a transmissão, venda, arrendamento, transferência ou cessão de todas ou partes substanciais do negócio, propriedades ou ativos da MeLi a uma Pessoa em que a MeLi não seja a sociedade prevalecente (exceto por quaisquer fusões que tenham como resultado a prevalência de um Acionista Permitido). “Amortização” (Amortization) Significa a amortização das Cotas em Circulação, ou seja, o pagamento aos Cotistas de parcela do valor de suas Cotas, sem redução de seu número, que será realizada nos termos previstos nos Capítulo Décimo segundo e Capítulo Décimo quarto deste Regulamento. “Amortização Final” Significa a amortização final das Cotas. “Amortização Acelerada” (Accelerated Amortization)Significa o regime de Amortização das Cotas, a ser adotado pelo A...",1019776_regulamento_regulamento_1019776_2025-10-20.pdf p.6
